country,legal_info,drinking_age,extra_info,national_alcohol
"Serbia","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are RAKIJA, a fruit brandy, and VINJAK, a brandy.","18",""," RAKIJA;VINJAK"
"Seychelles","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are COCO D’AMOUR, tropical coconut liqueur made with coconut extract, and BACCA, made from sugarcane liquor.","18","","COCO D'AMOUR;BACCA"
"Sierra Leone","There is no regulation regarding the minimum drinking age. The national alcohols is POYO, an alcoholic brew from the fermented sap of the palm tree.","NO LEGISLATION","","POYO"
"Singapore","Alcohol can be bought and consumed legally in the country at the age of 18. There is no national alcohol.	","18","","NONE"
"Slovakia","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are BOROVICKA, an alcoholic beverage flavored with juniper berries, and TATRATEA, a tea-based herbal liqueur.","18","","BOROVICKA;TATRATEA"
"Slovenia","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are GANJE, a potent brandy made from local fruit, but most commonly blueberry, and WINE.","18","","GANJA;WINE"
"Solomon Islands","Alcohol can be bought and consumed legally in the country at the age of 21. There is no national alcohol.","21","","NONE"
"Somalia","Alcohol is illegal everywhere in the country.","Illegal everywhere in the country","","NONE"
"South Africa","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are AMARULA, a sweet creamy liqueur made from the fruit of the Marula tree, and WINE.","18","","AMARULA;WINE"
"South Korea","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are SOJU, a clear spirit, similar to Japanese sake, but made from sweet potato or barley, and YAKJU, a refined pure liquor fermented from rice.","18","","YAKJU;SOJU"
"South Sudan","Alcohol can be bought and consumed legally in the country at the age of 18. There is no national alcohol.","18","","NONE"
"Spain","Alcohol can be bought and consumed legally in the country at the age of 18, 16 in Asturias. The five national alcohols are SHERRY, brandy-fortified spanish wine, SANGRIA, wine punch, CIDER, a fermented alcoholic beverage made from the unfiltered juice of apples, CAVA,  a sparkling wine, and PATXARAN, a sloe-flavoured liqueur.","18",""," SHERRY;SANGRIA;CIDER;CAVA;PATXARAN"
"Sri Lanka","Alcohol can be bought and consumed legally in the country at the age of 21. The national alcohol is ARRACK, distilled from the sap of unopened flowers from a coconut palm.","21","","ARRACK"
"Sudan","Alcohol is illegal everywhere in the country.","Illegal everywhere in the country","","NONE"
"Suriname","Alcohol can be bought and consumed legally in the country at the age of 16. The national alcohol is BEER.","16","","BEER"
"Swaziland","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is BEER.","18","","BEER"
"Sweden","Alcohol can be bought legally at the age of 20, but 18 for beer with ABV 3.5% or less, and consumed legally in the country at the age of 18. The national alcohol is AKVAVIT, a flavoured spirit.","Less than 3,5% ABV:18, More than 3,5% ABV:20","","AKVAVIT"
"Switzerland","Alcohol can be bought and consumed legally in the country at the age of 16 or 18, depending on the canton for beers and wine, 18 in all cantons for spirits. The three national alcohols are WINE, ABSINTHE, an anise-flavoured spirit derived from botanicals, and DAMASSINE,  is a liqueur produced by distillation of the damson plum.","Beers & Wine (in some cantons):16, Other alcohols:18","","WINE;ABSINTHE;DAMASSINE"
"Syria","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is ARAK, a clear, colorless, unsweetened anise-flavored distilled alcoholic drink.","18","","ARAK"
"Taiwan","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is KAOLIANG, a strong distilled liquor made from fermented sorghum.","18","","KAOLIANG"
"Tajikistan","Alcohol can be bought and consumed legally in the country at the age of 21. The national alcohol is VODKA.","21","","VODKA"
"Tanzania","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is KONYAGI, a popular, cheap, and frightfully strong gin.","18","","KONYAGI"
"Thailand","Alcohol can be bought and consumed legally in the country at the age of 20. The national alcohol is MEKHONG WHISKEY.","20","","MEKHONG WHISKEY"
"Tibet","There is no regulation regarding the minimum drinking age. There is no national alcohol.","NO LEGISLATION","","NONE"
"Togo","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is TCHAKPALLO, a fermented millet.","18",""," TCHAKPALLO"
"Tokelau","There is no regulation regarding the minimum drinking age. There is no national alcohol.","NO LEGISLATION","","NONE"
"Tonga","Alcohol can be consumed legally in the country at the age of 18 and there is no legal purchasing age. The national alcohol is KAVA, traditionally prepared by virgins, who chewed the root of the pepper plant into a soft pulpy mass before adding water but nowadays the roots are pounded in a wooden bowl using a vertical metal rod usually operated by hand.","18","","KAVA"
"Trinidad and Tobago","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is RUM.","18","","RUM"
"Tunisia","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are BOUKHA, thick aromatic spirit, distilled from figs, and THIBARINE, an herb-based liqueur.","18","","BOUKHA;THIBARINE"
"Turkey","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is RAKI, an unsweetened, anise-flavored alcoholic.","18","","RAKI"
"Turkmenistan","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is SHAMPANSKI, a sparkling wine.","18","","SHAMPANSKI"
"Turks and Caicos Islands","Alcohol can be bought and consumed legally in the country at the age of 18. There is no national alcohol.","18","","NONE"
"Tuvalu","There is no regulation regarding the minimum drinking age. There is no national alcohol.","NO LEGISLATION","","NONE"
"Uganda","Alcohol can be bought and consumed legally in the country at the age of 18. The two national alcohols are WARAGI, a strong local gin made from millet, and POMBE, locally made fermented banana beer.","18","","WARAGI;POMBE"
"Ukraine","Alcohol can be bought and consumed legally in the country at the age of 18. The national alcohol is HORILKA, a vodka.","18","","HORILKA"
"United Arab Emirates ","There is no local alcohol in the country because the consumption of alcohol is banned. Only some bars (mainly bars from hotels) have the license to sell alcohol to foreigners.","18","Forbidden, except for tourists","NONE"
"United Kingdom","Alcohol can be bought and consumed legally in the country at the age of 18. The five national alcohols are BEER, GIN, SCOTCH WHISKY, IRISH WHISKEY and SINGLE MALT WHISKY.","18","","BEER;GIN;SCOTCH WHISKY;IRISH WHISKEY;SINGLE MALT WHISKY"
"United States","Alcohol can be bought and consumed legally in the country at the age of 21. The six national alcohols are BEER, BOURBON WHISKEY, AMERICAN WHISKEY, WHITE LIGHTNING (MOONSHINE), RYE WHISKEY and WINE.","21","","BEER;BOURBON WHISKEY;AMERICAN WHISKEY;WHITE LIGHTNING (MOONSHINE);RYE WHISKEY;WINE."
"Uruguay","Alcohol can be bought and consumed legally in the country at the age of 18. The four national alcohols are CAÑA, an alcoholic version of mosto, distilled from sugar cane and honey, GRAPPA, a fragrant, grape-based pomace brandy, and WINE.","18","","CAÑA;GRAPPA;WINE."
"Uzbekistan","Alcohol can be bought at any age and consumed legally in the country at the age of 20. The national alcohol is SHAMPANSKI, a sparkling wine.","20","","SHAMPANSKI"
"Vanuatu","Alcohol can be bought at any age and consumed legally in the country at the age of 18. The national alcohol is KAVA, traditionally prepared by virgins, who chewed the root of the pepper plant into a soft pulpy mass before adding water but nowadays the roots are pounded in a wooden bowl using a vertical metal rod usually operated by hand.","18","","KAVA"
"Venezuela","Alcohol can be bought at any age and consumed legally in the country at the age of 18. The three national alcohols are RUM, MICHE ANDINO, a strong brandy used to drinking in the Andean region in stills craft is obtained by fermentation of panela (brown sugar) and then distilled and COCUY, made from the stalk of Agave cocuy baked and fermented in the desert regions.","18","","RUM;MICHE ANDINO;COCUY"
"Vietnam","Alcohol can be consumed legally in the country at the age of 18, for wine and spirits, and there is no legal purchasing age. The two national alcohols are RU?U N?P, a rice wine, and SNAKE WINE.","18","","RU?U N?P;SNAKE WINE"
"Virgin Islands, British","Alcohol can beconsumed legally in the country at the age of 16 and can be bought at the age of 18. There is no local alcohol.","16","","NONE"
"Virgin Islands, U.S.","Alcohol can be bought and consumed legally in the country at the age of 18. There is no national alcohol.","18","","NONE"
"Wallis and Futuna","There is no regulation regarding the minimum drinking age. There is no national alcohol.","NO LEGISLATION","","NONE"
"Western Sahara","Alcohol is illegal everywhere in the country.","Illegal everywhere in the country","","NONE"
"Yemen ","There is no local alcohol in the country because the consumption of alcohol is banned. Only some bars (mainly bars from hotels) have the license to sell alcohol to foreigners.","NA","Forbidden, except for tourists","NONE"
"Zambia","Alcohol can be bought and consumed legally in the country at the age of 18. The local alcohol is BEER, made from maize or baobab tree.	","18","","BEER"
"Zimbabwe","Alcohol can be bought and consumed legally in the country at the age of 18. The local alcohol is WHAWHA, a maize beer.","18","","WHAWHA"
